C,2244,-0.074,0.008,1.004
D,2248,0.035,-0.289,0.957
C,2249,-0.082,0.012,1.008
D,2252,0.035,-0.293,0.961
C,2254,-0.082,0.008,1.008
D,2257,0.039,-0.297,0.965
C,2259,-0.082,0.012,1.008
D,2263,0.043,-0.293,0.957
C,2264,-0.082,0.012,1.004
D,2267,0.039,-0.297,0.961
C,2269,-0.078,0.004,1.004
D,2273,0.035,-0.293,0.961
C,2274,-0.082,0.008,1.008
D,2277,0.039,-0.293,0.957
C,2278,-0.078,0.004,1.008
D,2282,0.039,-0.293,0.961
C,2284,-0.082,0.008,1.008
D,2288,0.043,-0.293,0.957
C,2289,-0.082,0.012,1.004
D,2292,0.039,-0.297,0.953
C,2294,-0.086,0.008,1.004
D,2297,0.039,-0.297,0.961
C,2299,-0.082,0.008,1.008
D,2302,0.039,-0.297,0.953
C,2303,-0.082,0.008,1.008
D,2307,0.039,-0.293,0.961
C,2309,-0.078,0.012,1.004
D,2313,0.039,-0.293,0.957
C,2314,-0.082,0.012,1.008
D,2317,0.039,-0.301,0.957
C,2318,-0.082,0.008,1.008
D,2322,0.039,-0.297,0.961
C,2324,-0.078,0.008,1.008
D,2328,0.039,-0.293,0.957
C,2329,-0.082,0.008,1.008
D,2332,0.039,-0.293,0.953
C,2334,-0.078,0.012,1.008
D,2337,0.035,-0.293,0.961
C,2339,-0.082,0.008,1.008
D,2342,0.039,-0.297,0.957
C,2343,-0.086,0.008,1.004
D,2347,0.035,-0.289,0.953
C,2349,-0.078,0.008,1.004
C,2352,-0.082,0.004,1.004
D,2353,0.039,-0.297,0.957
D,2357,0.035,-0.297,0.957
C,2358,-0.082,0.008,1.008
C,2362,-0.078,0.012,1.004
D,2363,0.039,-0.297,0.961
C,2367,-0.082,0.008,1.008
D,2369,0.039,-0.297,0.957
C,2372,-0.078,0.012,1.004
D,2373,0.043,-0.297,0.957
C,2377,-0.078,0.008,1.004
D,2378,0.043,-0.297,0.957
D,2382,0.039,-0.301,0.969
C,2383,-0.082,0.008,1.004
C,2387,-0.078,0.008,1.008
D,2388,0.043,-0.301,0.957
C,2392,-0.078,0.012,1.008
D,2393,0.043,-0.301,0.953
C,2397,-0.082,0.012,1.004
D,2398,0.035,-0.305,0.953
C,2402,-0.078,0.004,1.004
D,2403,0.043,-0.297,0.961
C,2406,-0.078,0.008,1.008
D,2408,0.039,-0.305,0.957
C,2412,-0.078,0.008,1.012
D,2413,0.043,-0.301,0.957
C,2416,-0.078,0.008,1.008
D,2417,0.039,-0.297,0.957
C,2421,-0.078,0.012,1.008
D,2423,0.039,-0.297,0.957
C,2426,-0.078,0.008,1.008
D,2427,0.039,-0.297,0.957
C,2431,-0.078,0.012,1.008
D,2433,0.039,-0.297,0.953
C,2436,-0.074,0.008,1.008
D,2438,0.039,-0.305,0.953
C,2441,-0.082,0.008,1.008
D,2442,0.039,-0.305,0.961
C,2446,-0.078,0.008,1.004
D,2448,0.043,-0.305,0.953
C,2451,-0.074,0.012,1.008
D,2452,0.043,-0.309,0.953
C,2456,-0.078,0.004,1.008
D,2457,0.043,-0.301,0.953
C,2460,-0.078,0.008,1.008
D,2462,0.043,-0.305,0.957
C,2466,-0.078,0.008,1.008
D,2467,0.043,-0.309,0.953
C,2470,-0.078,0.008,1.008
D,2472,0.043,-0.305,0.957
C,2476,-0.078,0.012,1.004
D,2477,0.043,-0.309,0.953
C,2480,-0.078,0.008,1.008
D,2482,0.047,-0.305,0.957
C,2485,-0.078,0.008,1.004
D,2487,0.043,-0.313,0.949
C,2490,-0.078,0.008,1.008
D,2492,0.043,-0.305,0.961
C,2495,-0.078,0.008,1.004
D,2497,0.043,-0.301,0.957
C,2500,-0.078,0.008,1.004
D,2502,0.043,-0.313,0.957
C,2505,-0.082,0.012,1.008
D,2507,0.043,-0.305,0.949
C,2510,-0.082,0.008,1.008
D,2512,0.047,-0.309,0.957
C,2515,-0.078,0.008,1.008
D,2517,0.043,-0.313,0.957
C,2520,-0.082,0.012,1.008
D,2522,0.047,-0.309,0.953
C,2524,-0.082,0.004,1.008
D,2527,0.047,-0.313,0.953
C,2530,-0.078,0.004,1.008
D,2532,0.043,-0.313,0.953
C,2534,-0.082,0.008,1.008
D,2536,0.047,-0.313,0.953
C,2540,-0.082,0.008,1.004
D,2542,0.047,-0.316,0.953
C,2544,-0.082,0.008,1.004
D,2547,0.051,-0.309,0.953
C,2549,-0.082,0.004,1.008
D,2552,0.051,-0.313,0.957
C,2555,-0.078,0.012,1.008
D,2557,0.047,-0.316,0.953
C,2559,-0.082,0.008,1.004
D,2561,0.047,-0.309,0.953
C,2564,-0.082,0.008,1.004
D,2567,0.051,-0.316,0.953
C,2569,-0.078,0.012,1.008
D,2572,0.047,-0.313,0.949
C,2574,-0.078,0.012,1.012
D,2576,0.047,-0.313,0.949
C,2579,-0.074,0.008,1.004
D,2582,0.043,-0.316,0.953
C,2584,-0.086,0.008,1.000
D,2587,0.043,-0.316,0.953
C,2588,-0.078,0.016,1.008
D,2592,0.043,-0.313,0.953
C,2594,-0.078,0.012,1.008
D,2597,0.043,-0.320,0.953
C,2598,-0.074,0.012,1.008
D,2601,0.043,-0.316,0.949
C,2604,-0.078,0.008,1.012
D,2607,0.047,-0.316,0.949
C,2608,-0.078,0.012,1.008
D,2612,0.051,-0.320,0.953
C,2613,-0.078,0.004,1.008
D,2616,0.047,-0.316,0.945
C,2619,-0.078,0.012,1.008
D,2622,0.047,-0.320,0.953
C,2623,-0.082,0.004,1.008
D,2627,0.047,-0.316,0.953
C,2628,-0.078,0.004,1.004
D,2631,0.051,-0.316,0.949
C,2633,-0.082,0.008,1.008
D,2637,0.047,-0.316,0.957
C,2638,-0.082,0.012,1.008
D,2641,0.047,-0.313,0.953
C,2643,-0.082,0.004,1.004
D,2647,0.047,-0.316,0.953
C,2648,-0.082,0.012,1.008
D,2652,0.043,-0.320,0.961
C,2653,-0.082,0.012,1.008
D,2656,0.051,-0.316,0.953
C,2658,-0.082,0.008,1.008
D,2662,0.051,-0.320,0.949
C,2663,-0.082,0.012,1.004
D,2666,0.047,-0.316,0.953
C,2668,-0.082,0.012,1.008
D,2671,0.051,-0.320,0.949
C,2673,-0.082,0.012,1.008
D,2677,0.043,-0.320,0.949
C,2678,-0.082,0.008,1.008
D,2681,0.047,-0.320,0.953
C,2683,-0.086,0.012,1.004
D,2687,0.047,-0.316,0.957
C,2688,-0.086,0.012,1.004
D,2692,0.047,-0.316,0.953
C,2693,-0.082,0.008,1.004
D,2696,0.047,-0.313,0.953
C,2698,-0.082,0.012,1.008
D,2702,0.047,-0.313,0.953
C,2703,-0.086,0.008,1.008
D,2706,0.047,-0.313,0.957
C,2708,-0.082,0.012,1.000
D,2711,0.047,-0.313,0.949
C,2713,-0.086,0.012,1.008
C,2716,-0.082,0.008,1.004
D,2718,0.047,-0.313,0.953
D,2721,0.047,-0.313,0.953
C,2723,-0.086,0.008,1.004
D,2727,0.047,-0.313,0.949
C,2728,-0.086,0.016,1.004
D,2731,0.043,-0.316,0.953
C,2732,-0.082,0.008,1.004
D,2736,0.039,-0.313,0.953
C,2738,-0.082,0.012,1.008
C,2741,-0.082,0.012,1.008
D,2743,0.047,-0.313,0.957
D,2746,0.043,-0.313,0.949
C,2747,-0.082,0.008,1.008
C,2751,-0.078,0.008,1.004
D,2752,0.039,-0.316,0.957
C,2756,-0.078,0.008,1.008
D,2758,0.039,-0.313,0.957
C,2761,-0.078,0.008,1.004
D,2762,0.035,-0.305,0.949
C,2766,-0.078,0.008,1.008
D,2767,0.043,-0.309,0.953
C,2771,-0.082,0.008,1.008
D,2772,0.039,-0.309,0.949
C,2776,-0.082,0.008,1.008
D,2777,0.039,-0.301,0.949
C,2781,-0.078,0.008,1.012
D,2783,0.035,-0.309,0.953
C,2786,-0.078,0.008,1.008
D,2787,0.039,-0.301,0.957
C,2791,-0.078,0.008,1.008
D,2792,0.039,-0.301,0.953
C,2795,-0.078,0.004,1.008
D,2797,0.039,-0.301,0.961
C,2801,-0.078,0.008,1.008
D,2802,0.043,-0.297,0.957
C,2805,-0.078,0.004,1.004
D,2807,0.035,-0.305,0.953
C,2810,-0.082,0.012,1.012
D,2812,0.039,-0.293,0.957
C,2815,-0.082,0.008,1.004
D,2816,0.035,-0.297,0.957
C,2820,-0.082,0.000,1.008
D,2822,0.031,-0.297,0.953
C,2825,-0.082,0.008,1.004
D,2826,0.035,-0.301,0.957
C,2830,-0.074,0.008,1.004
D,2831,0.039,-0.297,0.957
C,2834,-0.078,0.008,1.012
D,2836,0.035,-0.305,0.957
C,2840,-0.082,0.008,1.008
D,2841,0.035,-0.297,0.957
C,2845,-0.078,0.008,1.008
D,2847,0.039,-0.297,0.961
C,2850,-0.082,0.012,1.008
D,2851,0.035,-0.297,0.961
C,2855,-0.082,0.008,1.008
D,2856,0.035,-0.297,0.957
C,2859,-0.082,0.008,1.008
D,2861,0.035,-0.285,0.957
C,2865,-0.082,0.012,1.008
D,2866,0.035,-0.293,0.961
C,2869,-0.078,0.008,1.008
D,2871,0.035,-0.289,0.957
C,2874,-0.082,0.004,1.004
D,2876,0.035,-0.293,0.961
C,2879,-0.082,0.004,1.008
D,2881,0.039,-0.293,0.957
C,2884,-0.078,0.012,1.008
D,2886,0.039,-0.293,0.957
C,2889,-0.078,0.008,1.008
D,2891,0.035,-0.293,0.957
C,2894,-0.086,0.012,1.008
D,2896,0.035,-0.297,0.957
C,2899,-0.078,0.008,1.004
D,2901,0.035,-0.297,0.957
C,2904,-0.078,0.008,1.008
D,2906,0.035,-0.297,0.957
C,2909,-0.082,0.008,1.008
D,2911,0.035,-0.297,0.957
C,2914,-0.082,0.004,1.012
D,2916,0.035,-0.297,0.957
C,2919,-0.082,0.008,1.008
D,2921,0.031,-0.289,0.961
C,2923,-0.082,0.008,1.004
D,2926,0.035,-0.289,0.957
C,2929,-0.082,0.008,1.004
D,2931,0.035,-0.293,0.961
C,2933,-0.082,0.012,1.008
D,2936,0.035,-0.293,0.957
C,2938,-0.078,0.012,1.008
D,2941,0.039,-0.289,0.961
C,2943,-0.078,0.008,1.008
D,2946,0.035,-0.289,0.965
C,2948,-0.082,0.008,1.008
D,2951,0.035,-0.289,0.961
C,2953,-0.078,0.008,1.004
D,2956,0.035,-0.293,0.957
C,2958,-0.082,0.016,1.012
D,2961,0.039,-0.293,0.961
C,2963,-0.082,0.012,1.008
D,2966,0.039,-0.297,0.957
C,2968,-0.082,0.012,1.012
D,2971,0.035,-0.289,0.957
C,2973,-0.082,0.008,1.004
D,2976,0.035,-0.293,0.957
C,2978,-0.078,0.012,1.004
D,2981,0.039,-0.297,0.961
C,2983,-0.082,0.008,1.004
D,2986,0.039,-0.297,0.961
C,2987,-0.078,0.008,1.012
D,2990,0.035,-0.297,0.957
C,2993,-0.082,0.008,1.004
D,2996,0.039,-0.293,0.961
C,2997,-0.082,0.008,1.008
D,3001,0.039,-0.293,0.953
C,3002,-0.082,0.008,1.008
D,3006,0.039,-0.297,0.957
C,3007,-0.082,0.008,1.004
D,3011,0.039,-0.293,0.957
C,3012,-0.078,0.012,1.012
D,3016,0.039,-0.293,0.965
C,3018,-0.082,0.008,1.008
D,3021,0.039,-0.293,0.957
C,3022,-0.086,0.008,1.008
D,3026,0.043,-0.297,0.957
C,3027,-0.082,0.008,1.008
D,3030,0.039,-0.293,0.961
C,3032,-0.082,0.012,1.008
D,3036,0.039,-0.297,0.965
C,3037,-0.082,0.012,1.004
D,3041,0.043,-0.297,0.957
C,3042,-0.078,0.016,1.008
D,3046,0.039,-0.301,0.957
C,3047,-0.082,0.012,1.004
D,3051,0.043,-0.301,0.961
C,3052,-0.082,0.008,1.000
D,3055,0.043,-0.297,0.957
C,3057,-0.082,0.012,1.008
D,3061,0.039,-0.301,0.957
C,3062,-0.082,0.012,1.004
D,3066,0.043,-0.301,0.961
C,3067,-0.082,0.008,1.008
D,3070,0.043,-0.301,0.953
C,3072,-0.082,0.008,1.008
D,3076,0.039,-0.297,0.953
C,3077,-0.078,0.012,1.004
D,3081,0.043,-0.297,0.953
C,3082,-0.082,0.008,1.004
D,3085,0.043,-0.297,0.949
C,3087,-0.078,0.012,1.008
D,3091,0.039,-0.301,0.957
C,3092,-0.078,0.008,1.008
D,3095,0.043,-0.297,0.953
C,3097,-0.074,0.008,1.008
D,3101,0.043,-0.301,0.953
C,3102,-0.078,0.008,1.012
C,3105,-0.078,0.016,1.004
D,3107,0.047,-0.305,0.961
D,3110,0.043,-0.309,0.953
C,3112,-0.082,0.008,1.008
C,3115,-0.078,0.008,1.004
D,3117,0.043,-0.309,0.957
C,3121,-0.082,0.008,1.004
D,3122,0.043,-0.305,0.953
D,3125,0.043,-0.305,0.953
C,3127,-0.082,0.004,1.004
C,3130,-0.078,0.008,1.004
D,3132,0.047,-0.309,0.953
D,3135,0.039,-0.309,0.953
C,3137,-0.078,0.008,1.004
C,3140,-0.078,0.008,1.008
D,3141,0.043,-0.313,0.953
C,3145,-0.082,0.008,1.008
D,3147,0.039,-0.309,0.961
C,3150,-0.082,0.008,1.004
D,3151,0.043,-0.305,0.953
C,3155,-0.082,0.004,1.008
D,3157,0.043,-0.305,0.957
C,3160,-0.078,0.008,1.004
D,3161,0.043,-0.305,0.957
C,3165,-0.082,0.004,1.004
D,3166,0.047,-0.309,0.953
C,3169,-0.082,0.012,1.004
D,3171,0.047,-0.305,0.953
C,3175,-0.078,0.008,1.004
D,3176,0.047,-0.309,0.953
C,3179,-0.086,0.004,1.008
D,3181,0.051,-0.309,0.953
C,3184,-0.082,0.004,1.004
D,3186,0.051,-0.313,0.949
C,3190,-0.078,0.008,1.008
D,3191,0.047,-0.320,0.957
C,3194,-0.082,0.008,1.008
D,3196,0.047,-0.316,0.953
C,3200,-0.082,0.008,1.008
D,3201,0.047,-0.316,0.953
C,3204,-0.082,0.012,1.004
D,3205,0.047,-0.316,0.953
C,3209,-0.082,0.008,1.004
D,3211,0.051,-0.316,0.949
C,3214,-0.078,0.012,1.008
D,3215,0.051,-0.316,0.949
C,3219,-0.078,0.008,1.004
D,3221,0.047,-0.320,0.949
C,3224,-0.082,0.012,1.008
D,3225,0.047,-0.316,0.957
C,3229,-0.078,0.008,1.004
D,3230,0.047,-0.316,0.945
C,3233,-0.078,0.012,1.008
D,3236,0.051,-0.316,0.949
C,3239,-0.078,0.012,1.012
D,3240,0.047,-0.309,0.953
C,3243,-0.078,0.008,1.008
D,3245,0.047,-0.316,0.949
C,3248,-0.082,0.008,1.008
D,3250,0.047,-0.316,0.957
C,3254,-0.082,0.012,1.008
D,3255,0.047,-0.316,0.953
C,3258,-0.078,0.008,1.004
D,3260,0.047,-0.313,0.953
C,3264,-0.082,0.012,1.008
D,3265,0.051,-0.316,0.953
C,3268,-0.082,0.012,1.004
D,3270,0.047,-0.324,0.953
C,3273,-0.082,0.008,1.008
D,3276,0.047,-0.324,0.949
C,3278,-0.082,0.012,1.004
D,3280,0.051,-0.320,0.953
C,3283,-0.082,0.012,1.008
D,3285,0.047,-0.320,0.949
C,3288,-0.082,0.012,1.004
D,3290,0.047,-0.320,0.949
C,3293,-0.082,0.008,1.004
D,3295,0.051,-0.320,0.953
C,3297,-0.086,0.008,1.004
D,3300,0.047,-0.320,0.949
C,3303,-0.082,0.008,1.004
D,3305,0.047,-0.316,0.949
C,3307,-0.082,0.008,1.004
D,3310,0.051,-0.316,0.949
C,3312,-0.082,0.004,1.012
D,3315,0.051,-0.316,0.953
C,3318,-0.082,0.012,1.008
D,3320,0.047,-0.316,0.949
C,3322,-0.082,0.008,1.008
D,3325,0.047,-0.313,0.953
C,3328,-0.082,0.008,1.004
D,3330,0.051,-0.313,0.953
C,3332,-0.082,0.012,1.008
D,3335,0.047,-0.313,0.949
C,3337,-0.082,0.008,1.008
D,3340,0.047,-0.316,0.957
C,3342,-0.086,0.012,1.008
D,3345,0.047,-0.320,0.949
C,3347,-0.082,0.008,1.004
D,3350,0.043,-0.320,0.949
C,3352,-0.078,0.008,1.004
D,3355,0.047,-0.313,0.953
C,3357,-0.078,0.008,1.004
D,3360,0.043,-0.316,0.953
C,3361,-0.078,0.008,1.004
D,3365,0.043,-0.316,0.949
C,3367,-0.078,0.008,1.008
D,3370,0.043,-0.316,0.953
C,3372,-0.078,0.008,1.004
D,3375,0.043,-0.313,0.957
C,3376,-0.078,0.008,1.008
D,3380,0.043,-0.313,0.953
C,3382,-0.078,0.008,1.008
D,3385,0.039,-0.309,0.953
C,3386,-0.082,0.008,1.008
D,3390,0.039,-0.309,0.949
C,3392,-0.078,0.008,1.008
D,3395,0.043,-0.305,0.957
C,3396,-0.078,0.008,1.008
D,3400,0.043,-0.309,0.953
C,3401,-0.078,0.008,1.012
D,3405,0.039,-0.305,0.949
C,3407,-0.074,0.012,1.004
D,3410,0.039,-0.309,0.953
C,3411,-0.078,0.008,1.012
D,3415,0.043,-0.309,0.953
C,3416,-0.078,0.008,1.008
D,3419,0.043,-0.305,0.953
C,3421,-0.078,0.012,1.004
D,3425,0.043,-0.313,0.957
C,3426,-0.082,0.012,1.008
D,3430,0.039,-0.313,0.957
C,3431,-0.078,0.004,1.008
D,3435,0.043,-0.309,0.949
C,3436,-0.082,0.004,1.008
D,3440,0.039,-0.309,0.953
C,3441,-0.082,0.012,1.004
D,3445,0.043,-0.309,0.961
C,3447,-0.082,0.012,1.004
D,3450,0.039,-0.301,0.953
C,3451,-0.078,0.004,1.008
D,3455,0.039,-0.305,0.957
C,3456,-0.082,0.008,1.008
D,3459,0.039,-0.301,0.961
C,3461,-0.086,0.012,1.004
D,3465,0.039,-0.293,0.957
C,3466,-0.082,0.008,1.004
D,3470,0.039,-0.297,0.957
C,3471,-0.082,0.004,1.004
D,3475,0.039,-0.293,0.961
C,3476,-0.078,0.008,1.008
D,3480,0.039,-0.297,0.957
C,3481,-0.078,0.008,1.004
C,3485,-0.078,0.012,1.004
D,3486,0.035,-0.297,0.957
D,3490,0.039,-0.297,0.957
C,3491,-0.082,0.008,1.008
C,3495,-0.082,0.012,1.004
D,3496,0.039,-0.301,0.953
D,3499,0.035,-0.301,0.957
C,3501,-0.078,0.008,1.004
C,3504,-0.086,0.012,1.008
D,3506,0.039,-0.293,0.957
C,3510,-0.078,0.004,1.004
D,3511,0.035,-0.301,0.953
C,3514,-0.082,0.008,1.004
D,3515,0.035,-0.301,0.957
C,3519,-0.078,0.012,1.012
D,3521,0.035,-0.293,0.953
C,3524,-0.078,0.012,1.008
D,3525,0.035,-0.297,0.961
C,3529,-0.078,0.008,1.004
D,3531,0.035,-0.297,0.961
C,3534,-0.078,0.008,1.008
D,3536,0.043,-0.293,0.953
C,3539,-0.082,0.008,1.008
D,3540,0.035,-0.293,0.961
C,3544,-0.078,0.008,1.008
D,3546,0.039,-0.289,0.961
C,3549,-0.082,0.008,1.004
D,3550,0.035,-0.289,0.961
C,3554,-0.078,0.008,1.004
D,3555,0.035,-0.293,0.957
C,3558,-0.078,0.016,1.008
D,3560,0.035,-0.293,0.957
C,3564,-0.082,0.008,1.004
D,3565,0.035,-0.289,0.957
C,3568,-0.082,0.016,1.008
D,3570,0.035,-0.297,0.965
C,3574,-0.082,0.008,1.004
D,3575,0.035,-0.297,0.957
C,3578,-0.086,0.012,1.008
D,3579,0.039,-0.297,0.961
C,3583,-0.082,0.008,1.004
D,3585,0.035,-0.301,0.961
C,3588,-0.086,0.008,1.008
D,3589,0.035,-0.293,0.957
C,3593,-0.082,0.004,1.000
D,3595,0.035,-0.293,0.957
C,3598,-0.082,0.008,1.008
D,3600,0.035,-0.293,0.965
C,3603,-0.082,0.008,1.004
D,3604,0.039,-0.285,0.957
C,3608,-0.086,0.008,1.008
D,3610,0.039,-0.293,0.957
C,3613,-0.086,0.008,1.012
D,3614,0.039,-0.289,0.953
C,3618,-0.090,0.008,1.004
D,3619,0.039,-0.285,0.961
C,3622,-0.086,0.012,1.004
D,3625,0.035,-0.289,0.961
C,3628,-0.086,0.012,1.004
D,3629,0.039,-0.293,0.961
C,3632,-0.086,0.008,1.004
D,3634,0.039,-0.289,0.965
C,3638,-0.086,0.012,1.008
D,3640,0.035,-0.293,0.961
C,3642,-0.086,0.012,1.004
D,3644,0.035,-0.289,0.953
C,3647,-0.086,0.012,1.008
D,3650,0.043,-0.289,0.953
C,3652,-0.086,0.012,1.004
D,3654,0.039,-0.301,0.953
C,3657,-0.082,0.008,1.008
D,3659,0.035,-0.301,0.957
C,3662,-0.082,0.008,1.008
D,3665,0.039,-0.297,0.957
C,3667,-0.082,0.012,1.008
D,3669,0.039,-0.297,0.961
C,3672,-0.082,0.016,1.004
D,3674,0.043,-0.293,0.961
C,3677,-0.086,0.012,1.008
D,3679,0.035,-0.293,0.961
C,3682,-0.078,0.004,1.004
D,3684,0.039,-0.297,0.957
C,3686,-0.082,0.016,1.004
D,3690,0.039,-0.289,0.957
C,3692,-0.082,0.012,1.008
D,3694,0.039,-0.289,0.957
C,3696,-0.078,0.004,1.004
D,3699,0.039,-0.293,0.957
C,3702,-0.074,0.012,1.008
D,3705,0.035,-0.289,0.961
C,3706,-0.078,0.008,1.008
D,3709,0.035,-0.293,0.965
C,3711,-0.078,0.008,1.008
D,3714,0.035,-0.293,0.957
C,3717,-0.078,0.012,1.008
D,3719,0.035,-0.293,0.961
C,3721,-0.074,0.008,1.004
D,3724,0.035,-0.301,0.961
C,3726,-0.078,0.004,1.008
D,3730,0.039,-0.301,0.961
C,3731,-0.082,0.004,1.008
D,3734,0.035,-0.297,0.957
C,3736,-0.082,0.008,1.008
D,3739,0.039,-0.301,0.961
C,3741,-0.082,0.004,1.000
D,3744,0.039,-0.297,0.961
C,3746,-0.074,0.008,1.008
D,3749,0.039,-0.293,0.953
C,3750,-0.078,0.008,1.004
D,3754,0.039,-0.297,0.957
C,3756,-0.082,0.004,1.004
D,3759,0.047,-0.301,0.957
C,3760,-0.078,0.004,1.008
D,3764,0.043,-0.297,0.961
C,3766,-0.074,0.008,1.008
D,3769,0.039,-0.297,0.961
C,3771,-0.082,0.004,1.004
D,3774,0.039,-0.297,0.957
C,3775,-0.078,0.004,1.008
D,3779,0.039,-0.301,0.957
C,3781,-0.078,0.004,1.000
D,3784,0.035,-0.301,0.957
C,3785,-0.078,0.004,1.004
D,3789,0.043,-0.301,0.957
C,3790,-0.078,0.008,1.008
D,3794,0.039,-0.305,0.949
C,3796,-0.082,0.016,1.004
D,3799,0.043,-0.305,0.949
C,3800,-0.082,0.008,1.012
D,3804,0.043,-0.301,0.953
C,3805,-0.078,0.012,1.012
D,3809,0.039,-0.313,0.957
C,3811,-0.117,0.012,1.008
D,3814,0.039,-0.305,0.957
C,3815,-0.121,0.039,1.016
D,3819,0.047,-0.309,0.938
C,3821,-0.031,-0.004,0.996
D,3824,0.039,-0.328,0.973
C,3825,-0.078,0.027,1.012
D,3829,0.039,-0.297,0.957
C,3830,-0.090,0.004,1.012
D,3834,0.051,-0.309,0.941
C,3836,-0.098,0.008,1.008
D,3839,0.027,-0.320,0.973
C,3840,-0.070,0.012,1.000
D,3844,0.047,-0.309,0.953
C,3845,-0.086,0.012,1.008
D,3849,0.043,-0.293,0.941
C,3850,-0.078,0.008,1.004
D,3854,0.043,-0.328,0.977
C,3855,-0.082,0.012,1.008
C,3859,-0.074,0.008,1.008
D,3860,0.051,-0.313,0.938
D,3864,0.043,-0.281,0.953
C,3865,-0.082,0.004,1.008
C,3869,-0.086,0.016,1.008
D,3870,0.039,-0.348,0.969
C,3874,-0.086,0.012,1.004
D,3875,0.051,-0.313,0.941
