A,1289,-0.086,0.168,0.992
B,1292,-0.051,0.133,0.996
A,1293,-0.090,0.172,0.988
B,1297,-0.059,0.129,1.000
A,1298,-0.086,0.168,0.988
B,1302,-0.059,0.129,1.000
A,1304,-0.086,0.172,0.984
B,1307,-0.063,0.125,1.000
A,1309,-0.082,0.172,0.980
B,1312,-0.063,0.125,1.000
A,1313,-0.082,0.172,0.973
B,1317,-0.059,0.125,0.996
A,1319,-0.078,0.172,0.984
B,1323,-0.063,0.121,1.000
A,1324,-0.082,0.168,0.988
B,1327,-0.063,0.129,0.996
A,1329,-0.082,0.168,0.988
B,1332,-0.055,0.125,1.000
A,1334,-0.078,0.160,0.988
B,1338,-0.055,0.133,0.996
A,1339,-0.070,0.160,0.992
B,1342,-0.047,0.129,1.000
A,1344,-0.074,0.156,0.984
B,1348,-0.043,0.133,1.000
A,1349,-0.070,0.156,0.988
B,1353,-0.035,0.137,0.996
A,1354,-0.066,0.156,0.988
B,1357,-0.031,0.141,0.996
A,1360,-0.063,0.145,0.992
B,1363,-0.035,0.141,0.996
A,1365,-0.059,0.141,0.992
B,1368,-0.027,0.145,0.996
A,1369,-0.055,0.137,0.992
B,1373,-0.031,0.145,0.996
A,1375,-0.055,0.133,0.992
B,1378,-0.031,0.145,0.996
A,1380,-0.051,0.125,0.988
B,1383,-0.031,0.145,0.992
A,1385,-0.047,0.125,0.992
B,1388,-0.039,0.141,0.992
A,1390,-0.043,0.121,0.988
B,1393,-0.043,0.145,0.996
A,1395,-0.043,0.117,0.992
B,1398,-0.051,0.133,1.000
A,1400,-0.039,0.109,0.996
B,1403,-0.051,0.137,0.992
A,1406,-0.035,0.105,0.996
B,1408,-0.059,0.137,0.996
A,1410,-0.039,0.098,0.996
B,1413,-0.063,0.129,0.996
A,1416,-0.035,0.098,0.996
B,1419,-0.063,0.133,1.000
A,1421,-0.031,0.094,0.992
B,1423,-0.066,0.129,0.996
A,1425,-0.027,0.094,0.996
B,1428,-0.066,0.133,1.000
A,1431,-0.023,0.090,0.996
B,1434,-0.070,0.141,1.000
A,1436,-0.023,0.086,1.000
B,1439,-0.066,0.133,0.996
A,1441,-0.027,0.086,0.996
B,1443,-0.063,0.133,0.992
A,1446,-0.027,0.078,1.000
B,1449,-0.066,0.141,0.992
A,1451,-0.023,0.082,0.996
B,1454,-0.059,0.141,0.996
